input_type,n,fit_time,eval_time,accuracy,test_set
features,5,0.00040454289317131043,2.4693012237548826e-06,0.6265,set_4
images,10,0.016352503806352614,4.8209547996520996e-05,0.659,set_0
images,10,0.016389859020709992,5.636155605316162e-05,0.6785,set_1
images,10,0.016429830074310304,5.472683906555176e-05,0.673,set_2
images,10,0.016326467394828795,4.9582839012145994e-05,0.6585,set_3
images,10,0.01575263026356697,4.3796420097351077e-05,0.6565,set_4
features,10,0.0007269046306610107,4.080057144165039e-06,0.654,set_0
features,10,0.0007522249221801758,4.0047168731689455e-06,0.6475,set_1
features,10,0.0007692447304725647,3.967046737670898e-06,0.6635,set_2
features,10,0.0007313874661922455,3.9126873016357425e-06,0.6505,set_3
features,10,0.0007393529713153839,5.677103996276855e-06,0.6405,set_4
images,15,0.023428202301263808,5.8441400527954104e-05,0.6835,set_0
images,15,0.023261684507131578,6.141090393066407e-05,0.6965,set_1
images,15,0.025274167388677597,6.736040115356445e-05,0.6935,set_2
images,15,0.025190328121185303,5.810809135437012e-05,0.6755,set_3
images,15,0.022556759595870973,5.8533072471618655e-05,0.6535,set_4
features,15,0.0010129828453063964,5.532383918762207e-06,0.6355,set_0
features,15,0.0010404571890830993,5.220532417297363e-06,0.641,set_1
features,15,0.0010569187402725219,5.094051361083984e-06,0.6635,set_2
features,15,0.0010239975154399871,5.649805068969726e-06,0.65,set_3
features,15,0.0010435137450695037,5.554795265197754e-06,0.6565,set_4
images,20,0.030533701092004775,7.774388790130615e-05,0.6915,set_0
images,20,0.030496384888887406,7.699131965637207e-05,0.71,set_1
images,20,0.030603587955236437,7.736408710479736e-05,0.713,set_2
images,20,0.030570442348718644,7.749509811401367e-05,0.69,set_3
images,20,0.02994082799553871,7.746076583862305e-05,0.6635,set_4
features,20,0.0013165798485279083,6.996512413024903e-06,0.6555,set_0
features,20,0.0013198926746845246,6.760835647583008e-06,0.6605,set_1
features,20,0.0013763549923896789,6.632924079895019e-06,0.6495,set_2
features,20,0.001334184318780899,7.20512866973877e-06,0.652,set_3
features,20,0.0013413387238979339,7.123947143554687e-06,0.651,set_4
images,30,0.045825009495019914,0.00011564362049102784,0.696,set_0
images,30,0.04546423798799515,0.00011684834957122803,0.7255,set_1
images,30,0.045860959976911544,0.00011600875854492188,0.7195,set_2
images,30,0.0453968294262886,0.00011825215816497803,0.7015,set_3
images,30,0.04512291219830513,0.00011868560314178466,0.6785,set_4
features,30,0.0019575119018554687,1.0211348533630372e-05,0.662,set_0
features,30,0.0019395421743392943,1.012861728668213e-05,0.6845,set_1
features,30,0.0020118641555309296,9.664058685302734e-06,0.669,set_2
features,30,0.0019357313513755799,1.0727167129516602e-05,0.671,set_3
features,30,0.001971689462661743,1.0213494300842286e-05,0.6755,set_4
